,week,channel,cost,impressions,clicks,applications
0,2022-01-03,affiliates,39416.612500413445,1852244.4431547588,72721.69316681009,1859
1,2022-01-03,facebook,37698.01284515539,1955715.9858652423,52798.086137940445,1859
2,2022-01-03,google,20067.528204687926,860420.5381773137,49283.241906586874,1859
3,2022-01-03,tv,120000.0,6106485.686121471,,1859
4,2022-01-10,affiliates,40393.72247173825,2168833.194021854,66923.34190389203,1988
5,2022-01-10,facebook,40417.727190009515,1624859.2972535512,37955.20166743116,1988
6,2022-01-10,google,19986.502775262066,893625.4266780927,57292.7608408861,1988
7,2022-01-10,tv,120000.0,4827990.0960278185,,1988
8,2022-01-17,affiliates,36473.91968927453,1882799.0478251618,52858.80868024394,2077
9,2022-01-17,facebook,39078.722458080425,2160491.0533174067,68526.65280136665,2077
10,2022-01-17,google,19884.35171761176,964281.3269477374,50728.32388289968,2077
11,2022-01-17,tv,120000.0,5308949.5599410795,,2077
12,2022-01-24,affiliates,41951.090254244715,1997045.1042154524,58057.50637446294,2473
13,2022-01-24,facebook,38321.56495355472,1856830.7369496096,58780.42271577597,2473
14,2022-01-24,google,19323.07799969404,1025251.2431838793,66800.24230183756,2473
15,2022-01-24,tv,120000.0,6894028.914351551,,2473
16,2022-01-31,affiliates,40723.27205009527,1904806.6661463876,60586.14377683381,2028
17,2022-01-31,facebook,42712.48005714164,2120245.3484475203,74246.04024727373,2028
18,2022-01-31,google,18893.66502599397,831679.6150134221,53279.58271659168,2028
19,2022-01-31,tv,0.0,0.0,,2028
20,2022-02-07,affiliates,39401.98529906826,1988177.048793828,39887.11696928706,2520
21,2022-02-07,facebook,34760.509791820514,1880874.2398473097,57244.85013693632,2520
22,2022-02-07,google,21538.03656646597,1073043.7156213894,72777.27814757383,2520
23,2022-02-07,tv,0.0,0.0,,2520
24,2022-02-14,affiliates,41830.804235404146,2160299.828321938,59086.790463409496,2423
25,2022-02-14,facebook,38963.45956345271,1790664.4391544408,49227.54069942275,2423
26,2022-02-14,google,19780.32811216249,1024335.4247955267,69029.421608347,2423
27,2022-02-14,tv,0.0,0.0,,2423
28,2022-02-21,affiliates,37072.970103735766,1908538.796080413,59747.33445679564,2345
29,2022-02-21,facebook,38595.8938122453,1866562.6235303658,52337.40659082094,2345
30,2022-02-21,google,20513.267433113357,1035620.2603133059,67152.9575050326,2345
31,2022-02-21,tv,0.0,0.0,,2345
32,2022-02-28,affiliates,40808.101713629076,2425263.416218516,74874.88840027798,1950
33,2022-02-28,facebook,39314.57096694646,1808022.6151674164,52782.63738404491,1950
34,2022-02-28,google,20005.11345664246,976790.9617389312,51694.850962613025,1950
35,2022-02-28,tv,80000.0,3730786.99343017,,1950
36,2022-03-07,affiliates,40603.09468466722,2023107.7078732892,48871.42350654715,1917
37,2022-03-07,facebook,40120.46041988205,2500155.0593868657,72599.99058497565,1917
38,2022-03-07,google,20257.55039072276,1005337.060086055,50675.164542330866,1917
39,2022-03-07,tv,80000.0,3983031.1197125013,,1917
40,2022-03-14,affiliates,44380.91125161995,1999241.0388953434,54316.402860584705,2442
41,2022-03-14,facebook,42805.58862187219,1840244.1315785062,60607.12556206101,2442
42,2022-03-14,google,21142.82281451502,1136631.075118138,72693.42196918993,2442
43,2022-03-14,tv,80000.0,3417992.0289313667,,2442
44,2022-03-21,affiliates,43099.86881003508,1986202.8697781547,56387.68855468056,1998
45,2022-03-21,facebook,37875.39257254779,1983457.1247758626,50385.52100286273,1998
46,2022-03-21,google,20099.65136508764,954384.1426616567,49863.40561362523,1998
47,2022-03-21,tv,80000.0,4043880.3038758575,,1998
48,2022-03-28,affiliates,41563.64574355462,1821121.3814318576,42610.08258625138,2085
49,2022-03-28,facebook,36785.03353087755,1873210.489929108,58630.39057956442,2085
50,2022-03-28,google,20813.517217369666,912582.7826567629,55792.84705972558,2085
51,2022-03-28,tv,80000.0,4836571.362740754,,2085
52,2022-04-04,affiliates,38571.29716394726,2288391.573748777,74073.32353035983,2224
53,2022-04-04,facebook,38639.95055684302,1976868.8847168768,62202.8958086622,2224
54,2022-04-04,google,20521.9415656169,1056570.5888307213,64717.55222178242,2224
55,2022-04-04,tv,80000.0,4221726.854078065,,2224
56,2022-04-11,affiliates,40825.561853873,2209083.432240949,87223.3727290871,2088
57,2022-04-11,facebook,42317.1911580148,1942214.7051722796,67621.85757931974,2088
58,2022-04-11,google,18808.69650279735,1002179.412952918,55246.73525675314,2088
59,2022-04-11,tv,80000.0,4503734.146395169,,2088
60,2022-04-18,affiliates,41654.36649807205,2085426.2527508556,77718.97820138496,1780
61,2022-04-18,facebook,39845.79658117179,2060257.1900176345,64657.986744186026,1780
62,2022-04-18,google,19754.611883997128,913281.767250782,50735.01948362957,1780
63,2022-04-18,tv,80000.0,3477881.417622119,,1780
64,2022-04-25,affiliates,41428.00098818418,2169426.493301603,64292.80993606725,2676
65,2022-04-25,facebook,37858.215003877776,1984238.4723424723,57310.13689137236,2676
66,2022-04-25,google,19735.343166762046,1255184.5182095587,79237.71093489286,2676
67,2022-04-25,tv,120000.0,5177128.745840369,,2676
68,2022-05-02,affiliates,40770.63475945767,1858354.5944189483,57179.016617125504,1805
69,2022-05-02,facebook,40428.18748826041,1769594.5698771963,54620.13722627867,1805
70,2022-05-02,google,19153.206281931594,812589.40719648,46941.197830766265,1805
71,2022-05-02,tv,120000.0,6822142.842550534,,1805
72,2022-05-09,affiliates,38124.349920169756,2004394.419749943,65280.98105727004,2086
73,2022-05-09,facebook,42166.10248635056,2330478.7509496794,53861.216589199,2086
74,2022-05-09,google,20058.208718446,888280.751957945,54885.9232449328,2086
75,2022-05-09,tv,120000.0,6538353.145313505,,2086
76,2022-05-16,affiliates,41517.93844098654,1915466.3736352613,55195.90081974964,2844
77,2022-05-16,facebook,41908.0035269864,2231892.7106351773,63438.54567405409,2844
78,2022-05-16,google,20515.04768630605,1420947.2355818755,89312.86059985943,2844
79,2022-05-16,tv,120000.0,7090143.014573375,,2844
80,2022-05-23,affiliates,42177.90119393474,2122451.0411675004,52236.22860488055,2421
81,2022-05-23,facebook,41372.520380749025,1735015.4177916949,47956.417217291506,2421
82,2022-05-23,google,19514.636452170897,983720.542933337,70408.11848556703,2421
83,2022-05-23,tv,120000.0,4207425.415111922,,2421
84,2022-05-30,affiliates,41267.83804463602,1645525.620814394,50899.84538475424,2293
85,2022-05-30,facebook,40091.143679807625,1873940.1682019942,76306.31978288968,2293
86,2022-05-30,google,19284.69629074003,1029763.9954773806,58025.31342444085,2293
87,2022-05-30,tv,120000.0,6207800.2459986955,,2293
88,2022-06-06,affiliates,39330.997528318105,1873149.5121191158,50075.56869733045,2214
89,2022-06-06,facebook,41009.97455796091,2228021.7203297415,53469.21928112215,2214
90,2022-06-06,google,19338.21353523161,1049333.3660257754,58801.90969102243,2214
91,2022-06-06,tv,120000.0,5889853.016191777,,2214
92,2022-06-13,affiliates,39031.531854267494,2198824.0070933965,58184.51716235424,2304
93,2022-06-13,facebook,44244.31239402526,2440619.1973202815,54677.5583859123,2304
94,2022-06-13,google,21765.4542402811,1132345.766504412,60801.962951541565,2304
95,2022-06-13,tv,120000.0,6881147.469172585,,2304
96,2022-06-20,affiliates,37504.4336360703,2181334.9888788904,49841.96253242172,2261
97,2022-06-20,facebook,33517.465319861854,1504198.879780507,43226.40274144608,2261
98,2022-06-20,google,20443.819428146227,1101373.364963323,60977.91923495442,2261
99,2022-06-20,tv,120000.0,5942855.658180672,,2261
100,2022-06-27,affiliates,40924.206948526546,2086942.1483101242,56345.17495395488,2390
101,2022-06-27,facebook,42326.32750430992,2118482.014675929,53157.9183178083,2390
102,2022-06-27,google,19559.955513303015,990784.1750426483,66587.00433615079,2390
103,2022-06-27,tv,120000.0,4621572.334867738,,2390
